casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
Megapari,Full Time Result,Full Time Result,home,1319161414,3.43,0.29154518950437314,0.2802575415051686,0.2936,-0.013342458494831455,0.007048000000000165
Megapari,Full Time Result,Full Time Result,away,1319161414,2.23,0.4484304932735426,0.4310687746021203,0.41659349999999995,0.014475274602120336,-0.07099649500000016
Megapari,Full Time Result,Full Time Result,draw,1319161414,3.33,0.3003003003003003,0.2886736838927112,0.288182,0.0004916838927112033,-0.04035394000000003
Goldenbet,Full Time Result,Full Time Result,home,1319161414,3.14,0.3184713375796178,0.30017669263512975,0.2936,0.006576692635129722,-0.07809599999999983
Goldenbet,Full Time Result,Full Time Result,away,1319161414,2.3,0.4347826086956522,0.4098064412496989,0.41659349999999995,-0.006787058750301056,-0.04183495000000026
Goldenbet,Full Time Result,Full Time Result,draw,1319161414,3.25,0.3076923076923077,0.2900168661151715,0.288182,0.0018348661151715295,-0.06340850000000009
bet365,Full Time Result,Full Time Result,home,1319161414,3.2,0.3125,0.29753038024304196,0.2934665,0.00406388024304194,-0.06090719999999994
bet365,Full Time Result,Full Time Result,away,1319161414,2.3,0.4347826086956522,0.4139553116424932,0.417328,-0.003372688357506759,-0.040145600000000115
bet365,Full Time Result,Full Time Result,draw,1319161414,3.3,0.30303030303030304,0.28851430811446493,0.28812499999999996,0.00038930811446497016,-0.04918750000000016
Betway,Full Time Result,Full Time Result,home,1319161414,3.25,0.3076923076923077,0.28901154039136984,0.2936,-0.004588459608630191,-0.04579999999999995
Betway,Full Time Result,Full Time Result,away,1319161414,2.25,0.4444444444444444,0.41746111389864526,0.41659349999999995,0.0008676138986453141,-0.06266462500000003
Betway,Full Time Result,Full Time Result,draw,1319161414,3.2,0.3125,0.29352734570998495,0.288182,0.005345345709984961,-0.07781760000000004
ToonieBet,Full Time Result,Full Time Result,home,1319161414,3.4,0.29411764705882354,0.27979274611398963,0.2936,-0.013807253886010395,-0.0017599999999999838
ToonieBet,Full Time Result,Full Time Result,away,1319161414,2.16,0.4629629629629629,0.4404145077720207,0.41659349999999995,0.02382100777202073,-0.10015804000000006
ToonieBet,Full Time Result,Full Time Result,draw,1319161414,3.4,0.29411764705882354,0.27979274611398963,0.288182,-0.008389253886010362,-0.02018120000000001
Campobet,Full Time Result,Full Time Result,home,1319161414,3.2,0.3125,0.28932773586897387,0.29395000000000004,-0.004622264131026177,-0.05935999999999986
Campobet,Full Time Result,Full Time Result,away,1319161414,2.14,0.4672897196261682,0.4326396050377179,0.415859,0.016780605037717944,-0.11006174000000002
Campobet,Full Time Result,Full Time Result,draw,1319161414,3.33,0.3003003003003003,0.2780326590933082,0.28832199999999997,-0.010289340906691757,-0.03988774000000017
bet-at-home,Full Time Result,Full Time Result,home,1319161414,3.1,0.3225806451612903,0.3055114988104679,0.2934665,0.012044998810467888,-0.09025384999999997
bet-at-home,Full Time Result,Full Time Result,away,1319161414,2.3,0.4347826086956522,0.41177636796193506,0.417328,-0.005551632038064913,-0.040145600000000115
bet-at-home,Full Time Result,Full Time Result,draw,1319161414,3.35,0.29850746268656714,0.28271213322759714,0.28832199999999997,-0.005609866772402827,-0.03412130000000002
FanDuel,Full Time Result,Full Time Result,home,1319161414,3.2,0.3125,0.2922077922077922,0.29395000000000004,-0.0017422077922078505,-0.05935999999999986
FanDuel,Full Time Result,Full Time Result,away,1319161414,2.25,0.4444444444444444,0.41558441558441556,0.417328,-0.0017435844155844205,-0.061011999999999955
FanDuel,Full Time Result,Full Time Result,draw,1319161414,3.2,0.3125,0.2922077922077922,0.28812499999999996,0.00408279220779223,-0.07800000000000007
Mostbet,Full Time Result,Full Time Result,home,1319161414,3.25,0.3076923076923077,0.29430011632415665,0.2934665,0.0008336163241566275,-0.04623387499999998
Mostbet,Full Time Result,Full Time Result,away,1319161414,2.3,0.4347826086956522,0.41585886002326483,0.41659349999999995,-0.0007346399767351186,-0.04183495000000026
Mostbet,Full Time Result,Full Time Result,draw,1319161414,3.3,0.30303030303030304,0.28984102365257847,0.28812499999999996,0.0017160236525785022,-0.04918750000000016
Mystake,Full Time Result,Full Time Result,home,1319161414,3.14,0.3184713375796178,0.30017669263512975,0.2936,0.006576692635129722,-0.07809599999999983
Mystake,Full Time Result,Full Time Result,away,1319161414,2.3,0.4347826086956522,0.4098064412496989,0.41659349999999995,-0.006787058750301056,-0.04183495000000026
Mystake,Full Time Result,Full Time Result,draw,1319161414,3.25,0.3076923076923077,0.2900168661151715,0.288182,0.0018348661151715295,-0.06340850000000009
Jackbit,Full Time Result,Full Time Result,home,1319161414,3.14,0.3184713375796178,0.30017669263512975,0.2936,0.006576692635129722,-0.07809599999999983
Jackbit,Full Time Result,Full Time Result,away,1319161414,2.3,0.4347826086956522,0.4098064412496989,0.41659349999999995,-0.006787058750301056,-0.04183495000000026
