config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+clima,1,mas_2_5,199,-0.9364107996613914,0.6030150753768844,0.6432160804020101,-0.04020100502512569
base+elo+clima,1,ambos_marcan,199,-2.332206100618522,0.5577889447236181,0.592964824120603,-0.035175879396984966
base+elo+clima,1,mas_9_5_corners,199,-1.4399624297118392,0.5326633165829145,0.5829145728643216,-0.05025125628140703
base+elo+clima,1,mas_4_5_tarjetas,192,-1.3505988600838308,0.6770833333333334,0.6458333333333334,0.03125
base+elo+rotacion,1,resultado,212,-3.0134461946359545,0.4528301886792453,0.5141509433962265,-0.061320754716981174
base+elo+rotacion,1,mas_2_5,212,-1.1719295693877587,0.5943396226415094,0.6556603773584906,-0.061320754716981174
base+elo+rotacion,1,ambos_marcan,212,-2.03141331074641,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+rotacion,1,mas_9_5_corners,212,-1.3820090540493382,0.5377358490566038,0.5849056603773585,-0.047169811320754707
base+elo+rotacion,1,mas_4_5_tarjetas,201,-1.0784814034724797,0.681592039800995,0.6467661691542289,0.03482587064676612
base+elo+calidad_plantilla,1,resultado,212,-2.368508583614059,0.4528301886792453,0.5141509433962265,-0.061320754716981174
base+elo+calidad_plantilla,1,mas_2_5,212,-0.7955609417919225,0.6132075471698113,0.6556603773584906,-0.04245283018867929
base+elo+calidad_plantilla,1,ambos_marcan,212,-1.4343764473998137,0.5377358490566038,0.5849056603773585,-0.047169811320754707
base+elo+calidad_plantilla,1,mas_9_5_corners,212,-1.4362255978515375,0.5660377358490566,0.5849056603773585,-0.018867924528301883
base+elo+calidad_plantilla,1,mas_4_5_tarjetas,201,-1.9422317082488527,0.6567164179104478,0.6467661691542289,0.00995024875621886
base+elo+h2h+h2h_profundo,2,resultado,212,-2.8524490911930265,0.4716981132075472,0.5141509433962265,-0.04245283018867929
base+elo+h2h+h2h_profundo,2,mas_2_5,212,-1.2043086298427652,0.589622641509434,0.6556603773584906,-0.06603773584905659
base+elo+h2h+h2h_profundo,2,ambos_marcan,212,-2.1080517897416318,0.5330188679245284,0.5849056603773585,-0.05188679245283012
base+elo+h2h+h2h_profundo,2,mas_9_5_corners,212,-1.2765792640463245,0.5707547169811321,0.5849056603773585,-0.014150943396226356
base+elo+h2h+h2h_profundo,2,mas_4_5_tarjetas,201,-1.4174550571691926,0.681592039800995,0.6467661691542289,0.03482587064676612
